1^1^1^2013-09-30 15:38:23^2013-09-30 15:38:23
2^1^2^2013-09-30 15:38:23^2013-09-30 15:38:23
3^1^3^2013-09-30 15:38:24^2013-09-30 15:38:24
4^1^4^2013-09-30 15:38:24^2013-09-30 15:38:24
5^1^5^2013-09-30 15:38:24^2013-09-30 15:38:24
6^1^6^2013-09-30 15:38:24^2013-09-30 15:38:24
7^1^7^2013-09-30 15:38:24^2013-09-30 15:38:24
8^1^8^2013-09-30 15:38:24^2013-09-30 15:38:24
9^1^9^2013-09-30 15:38:24^2013-09-30 15:38:24
10^1^10^2013-09-30 15:38:25^2013-09-30 15:38:25
11^1^11^2013-09-30 15:38:25^2013-09-30 15:38:25
12^1^12^2013-09-30 15:38:25^2013-09-30 15:38:25
13^1^13^2013-09-30 15:38:25^2013-09-30 15:38:25
14^1^14^2013-09-30 15:38:25^2013-09-30 15:38:25
15^1^15^2013-09-30 15:38:26^2013-09-30 15:38:26
16^1^16^2013-09-30 15:38:26^2013-09-30 15:38:26
17^1^17^2013-09-30 15:38:26^2013-09-30 15:38:26
18^1^18^2013-09-30 15:38:26^2013-09-30 15:38:26
19^1^19^2013-09-30 15:38:26^2013-09-30 15:38:26
20^1^20^2013-09-30 15:38:27^2013-09-30 15:38:27
21^1^21^2013-09-30 15:38:27^2013-09-30 15:38:27
22^1^22^2013-09-30 15:38:27^2013-09-30 15:38:27
23^2^23^2013-09-30 15:38:28^2013-09-30 15:38:28
24^2^24^2013-09-30 15:38:28^2013-09-30 15:38:28
25^2^25^2013-09-30 15:38:28^2013-09-30 15:38:28
26^2^26^2013-09-30 15:38:28^2013-09-30 15:38:28
27^2^27^2013-09-30 15:38:28^2013-09-30 15:38:28
28^2^28^2013-09-30 15:38:28^2013-09-30 15:38:28
29^2^29^2013-09-30 15:38:29^2013-09-30 15:38:29
30^2^30^2013-09-30 15:38:29^2013-09-30 15:38:29
31^2^31^2013-09-30 15:38:29^2013-09-30 15:38:29
32^2^32^2013-09-30 15:38:29^2013-09-30 15:38:29
33^2^33^2013-09-30 15:38:29^2013-09-30 15:38:29
34^2^34^2013-09-30 15:38:29^2013-09-30 15:38:29
35^2^35^2013-09-30 15:38:29^2013-09-30 15:38:29
36^2^36^2013-09-30 15:38:30^2013-09-30 15:38:30
37^3^23^2013-09-30 15:38:30^2013-09-30 15:38:30
38^3^25^2013-09-30 15:38:30^2013-09-30 15:38:30
39^3^26^2013-09-30 15:38:30^2013-09-30 15:38:30
40^3^27^2013-09-30 15:38:30^2013-09-30 15:38:30
41^3^28^2013-09-30 15:38:31^2013-09-30 15:38:31
42^3^29^2013-09-30 15:38:31^2013-09-30 15:38:31
43^3^30^2013-09-30 15:38:31^2013-09-30 15:38:31
44^3^31^2013-09-30 15:38:31^2013-09-30 15:38:31
45^3^32^2013-09-30 15:38:31^2013-09-30 15:38:31
46^3^33^2013-09-30 15:38:31^2013-09-30 15:38:31
47^3^34^2013-09-30 15:38:31^2013-09-30 15:38:31
48^3^35^2013-09-30 15:38:31^2013-09-30 15:38:31
49^3^37^2013-09-30 15:38:31^2013-09-30 15:38:31
50^3^36^2013-09-30 15:38:32^2013-09-30 15:38:32
51^4^24^2013-09-30 15:38:32^2013-09-30 15:38:32
52^4^30^2013-09-30 15:38:32^2013-09-30 15:38:32
53^4^38^2013-09-30 15:38:32^2013-09-30 15:38:32
54^4^39^2013-09-30 15:38:33^2013-09-30 15:38:33
55^4^23^2013-09-30 15:38:33^2013-09-30 15:38:33
56^4^40^2013-09-30 15:38:33^2013-09-30 15:38:33
57^4^41^2013-09-30 15:38:34^2013-09-30 15:38:34
58^4^29^2013-09-30 15:38:34^2013-09-30 15:38:34
59^4^31^2013-09-30 15:38:34^2013-09-30 15:38:34
60^4^32^2013-09-30 15:38:34^2013-09-30 15:38:34
61^4^33^2013-09-30 15:38:34^2013-09-30 15:38:34
62^4^34^2013-09-30 15:38:34^2013-09-30 15:38:34
63^4^27^2013-09-30 15:38:34^2013-09-30 15:38:34
64^4^28^2013-09-30 15:38:34^2013-09-30 15:38:34
65^4^35^2013-09-30 15:38:34^2013-09-30 15:38:34
66^4^42^2013-09-30 15:38:34^2013-09-30 15:38:34
67^4^43^2013-09-30 15:38:34^2013-09-30 15:38:34
68^4^44^2013-09-30 15:38:35^2013-09-30 15:38:35
69^5^24^2013-09-30 15:38:35^2013-09-30 15:38:35
70^5^23^2013-09-30 15:38:35^2013-09-30 15:38:35
71^5^45^2013-09-30 15:38:36^2013-09-30 15:38:36
72^5^46^2013-09-30 15:38:36^2013-09-30 15:38:36
73^5^47^2013-09-30 15:38:36^2013-09-30 15:38:36
74^5^39^2013-09-30 15:38:36^2013-09-30 15:38:36
75^5^34^2013-09-30 15:38:36^2013-09-30 15:38:36
76^5^28^2013-09-30 15:38:36^2013-09-30 15:38:36
77^5^48^2013-09-30 15:38:36^2013-09-30 15:38:36
78^5^49^2013-09-30 15:38:37^2013-09-30 15:38:37
79^5^50^2013-09-30 15:38:37^2013-09-30 15:38:37
80^5^27^2013-09-30 15:38:37^2013-09-30 15:38:37
81^5^35^2013-09-30 15:38:37^2013-09-30 15:38:37
82^5^42^2013-09-30 15:38:37^2013-09-30 15:38:37
83^5^43^2013-09-30 15:38:37^2013-09-30 15:38:37
84^5^44^2013-09-30 15:38:37^2013-09-30 15:38:37
85^6^24^2013-09-30 15:38:38^2013-09-30 15:38:38
86^6^23^2013-09-30 15:38:38^2013-09-30 15:38:38
87^6^25^2013-09-30 15:38:38^2013-09-30 15:38:38
88^6^26^2013-09-30 15:38:38^2013-09-30 15:38:38
89^6^27^2013-09-30 15:38:38^2013-09-30 15:38:38
90^6^28^2013-09-30 15:38:38^2013-09-30 15:38:38
91^6^29^2013-09-30 15:38:38^2013-09-30 15:38:38
92^6^30^2013-09-30 15:38:38^2013-09-30 15:38:38
93^6^31^2013-09-30 15:38:39^2013-09-30 15:38:39
94^6^32^2013-09-30 15:38:39^2013-09-30 15:38:39
95^6^33^2013-09-30 15:38:39^2013-09-30 15:38:39
96^6^34^2013-09-30 15:38:39^2013-09-30 15:38:39
97^6^35^2013-09-30 15:38:39^2013-09-30 15:38:39
98^6^51^2013-09-30 15:38:39^2013-09-30 15:38:39
99^6^43^2013-09-30 15:38:39^2013-09-30 15:38:39
100^6^42^2013-09-30 15:38:39^2013-09-30 15:38:39
101^6^44^2013-09-30 15:38:39^2013-09-30 15:38:39
102^7^24^2013-09-30 15:38:40^2013-09-30 15:38:40
103^7^23^2013-09-30 15:38:40^2013-09-30 15:38:40
104^7^25^2013-09-30 15:38:40^2013-09-30 15:38:40
105^7^26^2013-09-30 15:38:40^2013-09-30 15:38:40
106^7^27^2013-09-30 15:38:40^2013-09-30 15:38:40
107^7^28^2013-09-30 15:38:40^2013-09-30 15:38:40
108^7^29^2013-09-30 15:38:41^2013-09-30 15:38:41
109^7^30^2013-09-30 15:38:41^2013-09-30 15:38:41
110^7^31^2013-09-30 15:38:41^2013-09-30 15:38:41
111^7^32^2013-09-30 15:38:41^2013-09-30 15:38:41
112^7^33^2013-09-30 15:38:41^2013-09-30 15:38:41
113^7^34^2013-09-30 15:38:41^2013-09-30 15:38:41
114^7^35^2013-09-30 15:38:41^2013-09-30 15:38:41
115^7^51^2013-09-30 15:38:41^2013-09-30 15:38:41
116^7^43^2013-09-30 15:38:41^2013-09-30 15:38:41
117^7^42^2013-09-30 15:38:41^2013-09-30 15:38:41
118^7^44^2013-09-30 15:38:42^2013-09-30 15:38:42
119^8^24^2013-09-30 15:38:42^2013-09-30 15:38:42
120^8^23^2013-09-30 15:38:42^2013-09-30 15:38:42
121^8^25^2013-09-30 15:38:43^2013-09-30 15:38:43
122^8^26^2013-09-30 15:38:43^2013-09-30 15:38:43
123^8^27^2013-09-30 15:38:43^2013-09-30 15:38:43
124^8^28^2013-09-30 15:38:43^2013-09-30 15:38:43
125^8^29^2013-09-30 15:38:43^2013-09-30 15:38:43
126^8^30^2013-09-30 15:38:43^2013-09-30 15:38:43
127^8^31^2013-09-30 15:38:43^2013-09-30 15:38:43
